Είδος,Συγγραφέας,Τίτλος,Διαβάστηκε,Εποχή
Αστυνομικό ,"Ferey, Caryl ",Μαπούτσε ,2017,Φθινόπωρο 
Ιστορικό ,"Vuillard, Eric",Ημερήσια διάταξη ,2018,Καλοκαίρι
Μυθιστόρημα ,"Assouline, Pierre",Lutetia ,2018,Καλοκαίρι 
Μυθιστόρημα,"Ζουργός, Ισίδωρος",Λίγες και μία νύχτες,2018,Καλοκαίρι 
Μυθιστόρημα ,"Williams, John",Στόουνερ,2018,Φθινόπωρο 
Μυθιστόρημα ,"Williams, John",Αύγουστος,2018,Χειμώνας
Μυθιστόρημα,"Liu, Cixin",The Tree Body Problem,2018,Φθινόπωρο
Μυθιστόρημα,"Celine, Louis-Ferdinand",Ταξίδι στην Άκρη της Νύχτας,2019,Χειμώνας
Μυθιστόρημα,"Χωμενίδης, Χρήστος",Φοίνικας,2019,Καλοκαίρι
Μυθιστόρημα ,"Assouline, Pierre",Ένας Πύργος στη Γερμανία. Ζιγκμαρίγκεν,2019,Καλοκαίρι
Μυθιστόρημα ,"Macintyre, Ben",Traitor and the Spy,2019,Φθινόπωρο
Μυθιστόρημα ,"Rahman, Zia Haider",Υπό το φως των όσων γνωρίζουμε,2019,Φθινόπωρο
Μυθιστόρημα ,"Χωμενίδης, Χρήστος",Άσπρο Ελάφι,2020,Καλοκαίρι
Μυθιστόρημα,Ταχτσής,Το Τρίτο Στεφάνι,2022,Χειμώνας
Μυθιστόρημα,"Ζουργός, Ισίδωρος",Σκηνές από τον βίο του Ματίας Αλμοσίνο,2022,Άνοιξη
Μυθιστόρημα ,"Ζουργός, Ισίσωρος",Περί της Εαυτού Ψυχής ,2022,Καλοκαίρι 
Ιστορικό,"Παπαχελάς, Αλέξης",Ένα Σκοτεινό Δωμάτιο,2022,Φθινόπωρο
Μυθιστόρημα,"Χωμενίδης, Χρήστος",Ο Τζίμης στην Κυψέλη,2023,Χειμώνας
Διηγήματα,"Παπαμάρκος, Δημοσθένης",Γκιάκ,2023,Άνοιξη
Μυθιστόρημα,"Ζουργός, Ισίδωρος",Ανεμώλια,2023,Άνοιξη
Μυθιστόρημα,"Αλμπάτης, Μιχάλης",Και οι Νεκροί ας Θάψουν τους Νεκρούς τους,2023,Άνοιξη
Μυθιστόρημα,"Χωμενίδης, Χρήστος",Η Δίκη Σουάρεφ,2023,Καλοκαίρι
Μυθιστόρημα,"Diaz, Hernan",Παρακαταθήκη,2023,Καλοκαίρι
